RUN,NB.bcl,Read.Length,NB.sample
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/200626_A00514_0361_AHCWJHDSXY/,1680,101,12
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230906_A00514_1523_BHKCVHDRX3/,888,101,1536
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230906_A00514_1524_AHL2WGDRX3/,276,28,8
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230907_A00514_1525_AHKW23DRX3/,424,31,104
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230907_A00514_1526_BHK5YTDRX3/,888,101,1536
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230911_A00514_1529_AHMGMMDMXY/,672,66,8
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230911_A00514_1530_BHLC3GDRX3/,464,100,4
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230913_A00514_1532_AHLC2CDRX3/,644,151,4
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230913_A00514_1533_BHKCNHDRX3/,888,101,1536
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230914_A00514_1534_AHK7W7DRX3/,888,101,1536
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230914_A00514_1535_BHKF27DRX3/,872,101,46
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230918_A00514_1537_BHKM53DRX3/,888,101,1536
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230920_A00514_1539_BHMG3LDMXY/,872,101,131
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230921_A00514_1540_BHLC2TDRX3/,196,28,10
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230926_A00514_1543_BHL7YNDRX3/,436,101,57
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/230926_A00514_1544_AHLMFGDRX3/,404,101,1
